batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,screener_current_job,screener_programming_experience_obj,screener_language_proficiency_obj,screener_programming_experience_sub,screener_language_proficiency_sub,perceived_difficulty,post_test_time_complexity,post_test_space_complexity,post_test_comprehend,post_test_code_quality,post_test_comment,attitudes_fear,attitudes_acceptance,domain_knowledge_sub,domain_knowledge_obj,codeExecutionSummary,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim
2,formal_easy_ransom_notes_with,610425405cd96682f2d3ff07,easy_ransom_notes,1,1,0.1,0,Student specializing in IT-related fields.,3,2,2,2,5,My code is better,They are equivalently good,Do not understand,Neither good nor bad,Somewhat bad,6,5.5,2,2,1,1,1,1,1
2,formal_easy_ransom_notes_with,6159e83b6407a6d5345d3b99,easy_ransom_notes,1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,1,2,3,3,AI-code is better,They are equivalently good,Somewhat understand,Neither good nor bad,I don't remember the comment quality of the AI-generated codes,4,9,1,1,1,0.2631578947368421,0.2777777777777778,0,0
2,formal_easy_ransom_notes_with,6529416fca661cf7ee143821,easy_ransom_notes,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,3,5,AI-code is better,AI-code is better,Fully understand,Very good,Very good,8.666666666666666,6.5,3,3,1,0.9444444444444444,0.9444444444444444,1,1
2,formal_easy_ransom_notes_with,65523123662559399b1aa48a,easy_ransom_notes,0,1,0,0,Student specializing in IT-related fields.,1,1,2,3,4,AI-code is better,AI-code is better,Fully understand,Somewhat good,Very good,3.3333333333333335,8.5,2,2,1,1,1,1,1
2,formal_easy_ransom_notes_with,65b011d3c75e0c8536526b93,easy_ransom_notes,0,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,5,5,2,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,Somewhat good,5.333333333333333,6.5,4,4,1,0.5,0.5,0.8571428571428571,1
2,formal_easy_ransom_notes_with,6609688e8e4fe9698ab13a66,easy_ransom_notes,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",25,20,4,3,3,AI-code is better,My code is better,Somewhat understand,Somewhat good,Very good,4.333333333333333,5,2,2,1,0.3,0.16666666666666666,0,0
1,formal_easy_ransom_notes_without,5bf5893f3a426e00019e42bc,easy_ransom_notes,0.1,0,0,0,Others.,0,1,1,2,5,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,2.6666666666666665,5,1,1,0,1,1,1,1
1,formal_easy_ransom_notes_without,60ec51c51a3158a50ded8a3e,easy_ransom_notes,1,1,0,0,Student specializing in IT-related fields.,2,1,4,3,1,They are equivalently good,My code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,4.333333333333333,4.5,2,3,1,0.3888888888888889,0.3888888888888889,0,0
1,formal_easy_ransom_notes_without,6171312b4f75ea6a71c23125,easy_ransom_notes,0.1,1,0,0,Others.,0,1,3,2,4,AI-code is better,AI-code is better,Fully understand,Very good,Very good,8.333333333333334,6.5,1,1,1,1,1,1,1
1,formal_easy_ransom_notes_without,62e94c384f809b7d0831f4ea,easy_ransom_notes,0.1,1,0,0,Student specializing in IT-related fields.,1,0,2,2,4,They are equivalently good,AI-code is better,Somewhat understand,Very good,There is no comment in the AI-generated codes,8.333333333333334,7.5,3,2,1,0.4,0.3333333333333333,0.23076923076923078,0.25
1,formal_easy_ransom_notes_without,65895cc810c582df1d708a65,easy_ransom_notes,1,1,0,0,Others.,3,2,3,2,2,They are equivalently good,They are equivalently good,Somewhat understand,Neither good nor bad,There is no comment in the AI-generated codes,4.333333333333333,8.5,3,3,1,0.9444444444444444,0.9444444444444444,1,1
three,formal_easy_ransom_notes_without,5c2c8746d8217e00019a1345,easy_ransom_notes,1,1,1,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",18,15,5,4,4,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,Somewhat good,2.3333333333333335,7.5,4,4,1,0.3076923076923077,0.2222222222222222,0.3333333333333333,0.25
three,formal_easy_ransom_notes_without,5ee3c9a7236bef095fd67d0e,easy_ransom_notes,0.1,0,0,0,Others.,0,0,2,2,5,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Neither good nor bad,0.6666666666666666,8,1,1,0,0.3333333333333333,0.16666666666666666,0.6428571428571429,0.375
three,formal_easy_ransom_notes_without,5f8739ae0483431242e11d41,easy_ransom_notes,1,1,1,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,1,4,2,4,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,I don't remember the comment quality of the AI-generated codes,2.6666666666666665,9,5,3,1,0.5,0.3888888888888889,0,0
three,formal_easy_ransom_notes_without,5faa3448cb538f3064fd2860,easy_ransom_notes,1,0,0,0,Student specializing in IT-related fields.,5,3,4,3,2,My code is better,AI-code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,4.333333333333333,5,5,4,1,0.3888888888888889,0.3888888888888889,0,0
three,formal_easy_ransom_notes_without,611e125063d1a52330225838,easy_ransom_notes,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",4,1,4,3,3,They are equivalently good,AI-code is better,Somewhat understand,Very good,There is no comment in the AI-generated codes,0.3333333333333333,7,4,3,1,0.46153846153846156,0.3333333333333333,0,0
three,formal_easy_ransom_notes_without,6122bbb8be3dd11d70df5fb1,easy_ransom_notes,1,1,0,0,Student specializing in IT-related fields.,3,2,3,3,3,AI-code is better,AI-code is better,Fully understand,Very good,There is no comment in the AI-generated codes,3,5.5,3,3,1,1,1,1,1
2,formal_easy_ransom_notes_without,5c093a3f600aff0001d7002c,easy_ransom_notes,1,1,0.1,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",15,3,4,3,5,AI-code is better,AI-code is better,Do not understand,Neither good nor bad,There is no comment in the AI-generated codes,3,8.5,1,2,1,0.9444444444444444,0.9444444444444444,1,1
2,formal_easy_ransom_notes_without,6114ba817968537bd89ef3c6,easy_ransom_notes,0.1,1,0.1,1,Others.,0,1,2,2,3,AI-code is better,My code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,5,4.5,1,1,1,1,1,1,1
2,formal_easy_ransom_notes_without,6577b990de34621ce896bc7d,easy_ransom_notes,0,1,0,1,Student specializing in IT-related fields.,6,3,3,5,1,I don't know,I don't know,Do not understand,Somewhat bad,There is no comment in the AI-generated codes,2.6666666666666665,4,2,3,1,0.782608695652174,1,0.7586206896551724,0.9166666666666666
2,formal_easy_ransom_notes_without,65abd7494c8491a1bb90411a,easy_ransom_notes,0,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,0,4,1,3,I don't know,I don't know,I don't remember if I can understand. ,I don't remember the quality of the AI-generated codes,There is no comment in the AI-generated codes,8.333333333333334,2.5,4,4,0,0.23076923076923078,0.3333333333333333,0,0
2,formal_easy_ransom_notes_without,65c64b9b090c48be1380151a,easy_ransom_notes,1,1,0.1,0.1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,3,3,My code is better,They are equivalently good,Somewhat understand,Neither good nor bad,Neither good nor bad,1,9,3,2,1,0.375,0.16666666666666666,0,0
2,formal_easy_ransom_notes_without,661747a10840d7553533cda1,easy_ransom_notes,1,0,1,0,Student specializing in IT-related fields.,2,1,4,3,2,My code is better,I don't know,Fully understand,Neither good nor bad,There is no comment in the AI-generated codes,6.333333333333333,7,3,3,1,0.36363636363636365,0.2222222222222222,0,0
1,formal_easy_remove_duplicates_with,5929c96027ea400001301061,easy_remove_duplicates,0.1,1,0,0,Others.,10,10,4,4,2,I don't know,They are equivalently good,Fully understand,Somewhat good,Somewhat good,3.3333333333333335,8,2,3,1,1,1,1,1
1,formal_easy_remove_duplicates_with,5ee890fabb763018d1ad774e,easy_remove_duplicates,1,0,1,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,3,4,4,1,They are equivalently good,They are equivalently good,Fully understand,Very good,I don't remember the comment quality of the AI-generated codes,4.666666666666667,6,4,2,1,0.5,0.5,0.875,0.7777777777777778
1,formal_easy_remove_duplicates_with,5f209641ae86003b679bb43f,easy_remove_duplicates,0.1,1,0.1,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",1,1,3,3,4,AI-code is better,AI-code is better,Somewhat understand,Very good,Very good,1.3333333333333333,9,2,2,1,1,1,1,1
1,formal_easy_remove_duplicates_with,60f801efc0846c47e4e755e6,easy_remove_duplicates,0.1,1,0,0,Student specializing in IT-related fields.,1,2,2,3,2,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,2,8,2,2,1,1,1,1,1
three,formal_easy_remove_duplicates_with,5f0da6848c9769018bb99f27,easy_remove_duplicates,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,5,3,3,3,They are equivalently good,AI-code is better,Fully understand,Somewhat good,Somewhat good,2,6,4,2,1,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.8333333333333334
three,formal_easy_remove_duplicates_with,610188d5ae3b8a7623ef58c4,easy_remove_duplicates,0,0,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",4,3,3,2,4,AI-code is better,They are equivalently good,Somewhat understand,Somewhat good,Somewhat good,3.3333333333333335,8.5,2,2,-1,0.13513513513513514,0.4166666666666667,0.2,0.5555555555555556
three,formal_easy_remove_duplicates_with,614e82d5717d691f24efffc0,easy_remove_duplicates,0.1,1,0,0,Others.,0,0,2,2,5,AI-code is better,AI-code is better,Somewhat understand,Very good,Very good,7.333333333333333,8.5,1,2,1,1,1,1,1
three,formal_easy_remove_duplicates_with,6426ef0c682f3da7f5bb5471,easy_remove_duplicates,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,1,3,3,4,I don't know,I don't know,Somewhat understand,Somewhat good,Somewhat bad,0.6666666666666666,1.5,2,2,1,0.45454545454545453,0.4166666666666667,0.8,0.6666666666666666
2,formal_easy_remove_duplicates_with,5c3872541736360001471ca0,easy_remove_duplicates,1,0.1,1,1,Student specializing in IT-related fields.,5,1,3,4,2,They are equivalently good,They are equivalently good,Fully understand,Very good,Very good,3,6,5,3,1,0.5714285714285714,0.6666666666666666,1,1
2,formal_easy_remove_duplicates_with,5c3d5129a9bfb4000168e299,easy_remove_duplicates,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,0,3,2,4,I don't know,I don't know,Fully understand,Neither good nor bad,Neither good nor bad,1,7,1,2,1,0.9166666666666666,0.9166666666666666,1,1
2,formal_easy_remove_duplicates_with,5cabf58293e29a0016018c30,easy_remove_duplicates,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,1,3,2,4,AI-code is better,They are equivalently good,Somewhat understand,Somewhat good,Somewhat good,3,5,2,2,1,0.4444444444444444,1,0.4090909090909091,1
2,formal_easy_remove_duplicates_with,6016bbe3a28c6014fd3236b8,easy_remove_duplicates,1,1,0,1,Others.,3,1,2,2,3,AI-code is better,My code is better,Somewhat understand,Neither good nor bad,Somewhat good,2.6666666666666665,7.5,2,2,1,1,1,1,1
2,formal_easy_remove_duplicates_with,60be6b60d4a12f2ce4c806f2,easy_remove_duplicates,0.1,1,0,0,Others.,0,0,2,2,2,I don't know,I don't know,Somewhat understand,Somewhat good,Somewhat good,3,6,1,1,1,0.9166666666666666,0.9166666666666666,1,1
2,formal_easy_remove_duplicates_with,611d1b663a5c2ab412850a1c,easy_remove_duplicates,0,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,5,3,3,3,AI-code is better,They are equivalently good,Fully understand,Neither good nor bad,Somewhat good,6.666666666666667,8,3,3,1,0.3888888888888889,0.5833333333333334,1,1
2,formal_easy_remove_duplicates_with,616ae04c674bd9a88c6ebed0,easy_remove_duplicates,1,0,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",7,6,3,3,3,My code is better,I don't know,Fully understand,Somewhat good,Neither good nor bad,2,9.5,4,3,1,0.2857142857142857,0.3333333333333333,1,1
2,formal_easy_remove_duplicates_with,6558c7f10f613d860aab3125,easy_remove_duplicates,0,0.1,0,0,Student specializing in IT-related fields.,2,2,3,4,3,They are equivalently good,AI-code is better,Fully understand,Very good,Very good,2,7.5,2,3,0,0.17647058823529413,0.25,0.4583333333333333,0.6111111111111112
2,formal_easy_remove_duplicates_with,661747a10840d7553533cda1,easy_remove_duplicates,1,1,0.1,1,Student specializing in IT-related fields.,4,1,3,2,2,They are equivalently good,AI-code is better,Fully understand,Very good,Very good,5.666666666666667,8,5,4,1,0.3333333333333333,0.3333333333333333,0.8,0.6666666666666666
2,formal_easy_remove_duplicates_with,66269e82eb93d0ae74c5d344,easy_remove_duplicates,1,1,0,0,Student specializing in IT-related fields.,1,1,2,2,3,I don't know,I don't know,Fully understand,Very good,Somewhat good,6,8,2,3,1,0.3333333333333333,0.4166666666666667,0.47619047619047616,0.5555555555555556
1,formal_easy_remove_duplicates_without,64622d2c6d50562c9b68e0c1,easy_remove_duplicates,1,1,1,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,1,3,2,2,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,There is no comment in the AI-generated codes,1,6,3,2,1,0.5,0.6666666666666666,1,1
1,formal_easy_remove_duplicates_without,65d5b28658b48e4435f182d0,easy_remove_duplicates,0.1,0.1,0.1,0,Others.,0,0,1,2,5,My code is better,I don't know,Somewhat understand,Very good,There is no comment in the AI-generated codes,3.6666666666666665,8.5,2,2,0,0.9166666666666666,0.9166666666666666,1,1
three,formal_easy_remove_duplicates_without,57ca4b09993b08000192297b,easy_remove_duplicates,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,0,4,3,2,AI-code is better,AI-code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,4,6,3,3,1,0.8461538461538461,0.9166666666666666,1,1
three,formal_easy_remove_duplicates_without,5f27f9f7119cde0008a93be7,easy_remove_duplicates,0.1,0.1,0,0,Student specializing in IT-related fields.,2,1,3,2,4,AI-code is better,AI-code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,1.6666666666666667,8.5,3,3,0,0.4666666666666667,0.5833333333333334,0.8,0.6666666666666666
three,formal_easy_remove_duplicates_without,5fda95fd9df7fa2b164bed61,easy_remove_duplicates,1,0,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,0,2,2,2,I don't know,I don't know,Fully understand,Somewhat good,There is no comment in the AI-generated codes,6.666666666666667,6.5,2,2,1,0.9090909090909091,0.8333333333333334,0.8,0.6666666666666666
three,formal_easy_remove_duplicates_without,6511e38ac9a0d7cb63342f27,easy_remove_duplicates,1,1,0,0,Student specializing in IT-related fields.,0,1,3,2,4,They are equivalently good,They are equivalently good,Fully understand,Somewhat good,There is no comment in the AI-generated codes,4.666666666666667,6.5,3,3,1,0.8333333333333334,0.8333333333333334,1,1
three,formal_easy_remove_duplicates_without,65c072fe454cef4b9b1ab25f,easy_remove_duplicates,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",9,5,4,4,1,They are equivalently good,They are equivalently good,Fully understand,Very good,There is no comment in the AI-generated codes,5,8.5,5,3,1,0.35714285714285715,0.4166666666666667,1,1
2,formal_easy_remove_duplicates_without,5dfb75507caa1e89ad5df828,easy_remove_duplicates,1,0,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",8,2,4,3,4,My code is better,My code is better,Somewhat understand,Somewhat bad,There is no comment in the AI-generated codes,7.666666666666667,7.5,4,3,1,0.8181818181818182,0.75,0.8,0.6666666666666666
2,formal_easy_remove_duplicates_without,5fbaf990efe4a5bcf223f9d7,easy_remove_duplicates,0.1,1,0,0,Student specializing in IT-related fields.,1,1,2,2,5,AI-code is better,AI-code is better,Somewhat understand,Very good,There is no comment in the AI-generated codes,9.333333333333334,5.5,1,2,1,1,1,1,1
2,formal_easy_remove_duplicates_without,60cdfc43f84c4e243fb375d8,easy_remove_duplicates,0.1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,4,5,I don't know,I don't know,Fully understand,Somewhat good,There is no comment in the AI-generated codes,4.333333333333333,8,2,2,1,0.9166666666666666,0.9166666666666666,1,1
2,formal_easy_remove_duplicates_without,613024a95f48b6ceaeee8ad5,easy_remove_duplicates,0,1,0,0,Student specializing in IT-related fields.,2,0,3,1,4,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,6.333333333333333,6,3,4,1,0.9166666666666666,0.9166666666666666,1,1
2,formal_easy_remove_duplicates_without,6159e83b6407a6d5345d3b99,easy_remove_duplicates,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",9,10,4,4,3,AI-code is better,They are equivalently good,Somewhat understand,Neither good nor bad,There is no comment in the AI-generated codes,9,9,2,3,1,0.35714285714285715,0.4166666666666667,1,1
2,formal_easy_remove_duplicates_without,652598cfa67d3941c6e6c31c,easy_remove_duplicates,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,2,3,3,2,My code is better,My code is better,Fully understand,Somewhat good,There is no comment in the AI-generated codes,7.666666666666667,4.5,4,4,1,0.3076923076923077,0.3333333333333333,1,1
2,formal_easy_remove_duplicates_without,65a96f2c5e9b2019bd4dc2bc,easy_remove_duplicates,0.1,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,4,3,3,2,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,There is no comment in the AI-generated codes,2,9,5,3,0,0.25,0.08333333333333333,0,0
2,formal_easy_remove_duplicates_without,66027ecb57ff798269b84a2a,easy_remove_duplicates,1,1,0,0,Student specializing in IT-related fields.,2,3,4,4,2,AI-code is better,They are equivalently good,Fully understand,Very good,There is no comment in the AI-generated codes,1.3333333333333333,8.5,3,3,1,0.375,0.5,1,1
2,formal_easy_remove_duplicates_without,661f84bf573acf3a4825c023,easy_remove_duplicates,0,0,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,4,5,5,1,They are equivalently good,They are equivalently good,Somewhat understand,Very good,There is no comment in the AI-generated codes,0,10,5,4,-1,0.14285714285714285,0.08333333333333333,0,0
1,formal_hard_longest_valid_parenthesis_with,653fb764c9aed77c01457531,hard_longest_valid_parenthesis,0.1,1,0,0,Others.,0,0,2,1,4,AI-code is better,AI-code is better,Do not understand,Very good,I don't remember the comment quality of the AI-generated codes,1.3333333333333333,8.5,1,1,1,1,1,1,1
three,formal_hard_longest_valid_parenthesis_with,59007be801efbd0001856baf,hard_longest_valid_parenthesis,0,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10,3,5,3,2,AI-code is better,AI-code is better,Fully understand,Somewhat bad,Somewhat good,0.6666666666666666,5.5,3,3,1,0.21739130434782608,0.29411764705882354,0.23684210526315788,0.36
three,formal_hard_longest_valid_parenthesis_with,5c7c2ec06c42650001af30a4,hard_longest_valid_parenthesis,0,1,0,0,Others.,2,3,3,4,5,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,6.333333333333333,0,2,3,1,0.23809523809523808,0.29411764705882354,0.8275862068965517,0.96
three,formal_hard_longest_valid_parenthesis_with,5e5e743fb38121000bddcc08,hard_longest_valid_parenthesis,0.1,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",8,4,4,3,5,AI-code is better,AI-code is better,Somewhat understand,Very good,Very good,4,8,2,2,0,0.2777777777777778,0.29411764705882354,0.8461538461538461,0.88
three,formal_hard_longest_valid_parenthesis_with,5f70b6d420717c6a6dcf0773,hard_longest_valid_parenthesis,0,0.1,0,0,Others.,1,2,3,4,4,AI-code is better,They are equivalently good,Somewhat understand,Neither good nor bad,I don't remember the comment quality of the AI-generated codes,4.333333333333333,7.5,2,2,0,0.5555555555555556,0.5882352941176471,0.3333333333333333,0.4
three,formal_hard_longest_valid_parenthesis_with,610d1cf3c7b4411f1643e501,hard_longest_valid_parenthesis,0,1,0,1,Student specializing in IT-related fields.,2,0,3,2,4,AI-code is better,AI-code is better,Fully understand,Very good,Very good,10,10,2,3,1,1,1,1,1
three,formal_hard_longest_valid_parenthesis_with,613f3901a7197bb325d10864,hard_longest_valid_parenthesis,0.1,1,0,0,Others.,0,0,1,2,5,I don't know,I don't know,Somewhat understand,Neither good nor bad,I don't remember the comment quality of the AI-generated codes,7.666666666666667,3.5,1,2,1,0.8095238095238095,1,0.7575757575757576,1
three,formal_hard_longest_valid_parenthesis_with,654ce13d2e31fe5c69c6e7c7,hard_longest_valid_parenthesis,1,1,0,1,Student specializing in IT-related fields.,3,1,3,2,3,My code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,2,8,3,3,1,1,1,1,1
three,formal_hard_longest_valid_parenthesis_with,655022ac88df62f61f5b47a6,hard_longest_valid_parenthesis,0.1,1,0,0,Student specializing in IT-related fields.,4,2,3,3,4,AI-code is better,AI-code is better,Fully understand,Very good,Somewhat good,4,9,2,2,1,1,1,1,1
three,formal_hard_longest_valid_parenthesis_with,659bed0447ff4ef6b9ea8b61,hard_longest_valid_parenthesis,0.1,1,0.1,0,Others.,3,0,2,2,3,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,2.6666666666666665,5,1,1,1,1,1,1,1
three,formal_hard_longest_valid_parenthesis_with,6640c3df2b3f09bdb21a6069,hard_longest_valid_parenthesis,0.1,1,0,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,2,3,3,4,My code is better,My code is better,Somewhat understand,Somewhat bad,Somewhat good,4.666666666666667,7.5,3,2,1,0.8823529411764706,0.8823529411764706,0.8148148148148148,0.88
2,formal_hard_longest_valid_parenthesis_with,5cfaab352e080000016ec742,hard_longest_valid_parenthesis,0.1,1,0.1,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",8,5,4,4,2,AI-code is better,AI-code is better,Fully understand,Somewhat good,Neither good nor bad,8,8,4,4,1,1,1,1,1
2,formal_hard_longest_valid_parenthesis_with,5df6304773d724428a9cff45,hard_longest_valid_parenthesis,1,0,0.1,1,Student specializing in IT-related fields.,6,1,3,2,2,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Very good,6.666666666666667,6,2,3,1,0.7647058823529411,0.7647058823529411,0.84,0.84
2,formal_hard_longest_valid_parenthesis_with,5ff743fd88a5713bd0d00583,hard_longest_valid_parenthesis,0.1,0.1,0,0,Others.,1,0,2,3,4,They are equivalently good,They are equivalently good,Fully understand,Neither good nor bad,Very good,3.6666666666666665,8.5,2,2,0,0.42857142857142855,0.5294117647058824,0.88,0.88
2,formal_hard_longest_valid_parenthesis_with,60fd528cbd7f31e9b838efa5,hard_longest_valid_parenthesis,0,0.1,0,0,Student specializing in IT-related fields.,3,1,3,2,4,AI-code is better,They are equivalently good,Fully understand,Somewhat good,I don't remember the comment quality of the AI-generated codes,7.666666666666667,7.5,2,2,0,0.4375,0.4117647058823529,0,0
2,formal_hard_longest_valid_parenthesis_with,61300c2d5a36876db1251ff5,hard_longest_valid_parenthesis,0,0,0,0,Others.,3,2,4,3,4,I don't know,I don't know,Somewhat understand,Somewhat good,Somewhat good,2,7.5,4,3,-1,0.5714285714285714,0.47058823529411764,0.6666666666666666,0.56
2,formal_hard_longest_valid_parenthesis_with,6148bf90e4a4620ca010c833,hard_longest_valid_parenthesis,0.1,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",1,1,2,2,4,I don't know,AI-code is better,Somewhat understand,Neither good nor bad,Neither good nor bad,3,7,1,2,0,0.25,0.11764705882352941,0.8076923076923077,0.84
